Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Senior Data Scientist - R&D Oncology,$80K-$136K (Glassdoor est.),"At AstraZeneca,we work together to deliver innovative medicines to patients across global boundaries. We make an impact and findsolutionsto challenges. We do this with integrity, even in the most difficult situations,because we are committed to doing the right thing.

Job Description

The Machine Learning and AI team in AstraZenecas Oncology Data Science & Analytics group is where we develop and apply sophisticated algorithms and techniques to solve the hardest problems in oncology drug discovery and development. The team uses their scientific, quantitative, and problem-solving skills to work on a broad range of challenges across the whole oncology portfolio, working collaboratively with other scientists across a range of disciplines to scope, define, and deliver projects that both advance the state of the art in data science and accelerate the delivery of innovative medicines to patients.

As a Senior Data Scientist you will play a key role on the front line in this rapidly growing team working to extract insight from complex biomedical data. You will develop your leadership skills and apply and develop your expertise in rigorous quantitative data science to provide solutions to a variety of data science problems, researching, recommending and delivering novel methodologies to solve the problems that matter to the oncology pipeline.

Examples of projects the team works on include machine learning models for developing digital biomarkers, patient risk stratification for clinical trials, new algorithms for survival analysis, approaches to quantitatively analyse wearable data, linking of medical imaging data with omics and longitudinal outcomes to identify and/or validate new drug targets, and much more!

Typical Accountabilities
Provides advanced data science expertise to AstraZeneca projects and recommends data science solutions.
Delivers advanced data science solutions to AstraZeneca projects, appropriately communicating with non-technical stakeholders.
Works within established frameworks to deliver a variety of tasks that support projects in meeting their objectives.
Independently keeps own knowledge up to date and learns from senior team members, proposing appropriate training courses for personal development.
Reviews working practices and ensures non-compliant processes are escalated
Ensures own work is compliant within Clinical Development.
Collaborate in a multidisciplinary environment with world leading clinicians, data scientists, biological experts, statisticians and IT professionals.
Education, Qualifications, Skills and Experience

Essential
MSc degree in rigorous quantitative science (such as mathematics, computer science, engineering)
Practical software development skills in standard data science tools (such as R or python)
Knowledge of range of mathematical and statistical modelling techniques, and drive to continue to learn and develop these skills.
Minimum 2+ years of experience or post doctoral.
Desirable
PhD degree in rigorous quantitative science (such as mathematics, computer science, engineering)
Experience within the pharmaceutical industry
Communication, business analysis, and consultancy.",3.9,"AstraZeneca
3.9","New York, NY","Cambridge, United Kingdom",10000+ employees,1913,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Roche, GlaxoSmithKline, Novartis"
Machine Learning Engineer/Scientist,$80K-$136K (Glassdoor est.),"At GenapSys we are working to power the world of healthcare and diagnostics with advanced DNA sequencing technology. Our sequencing instrument platform leverages a proprietary electrical microfluidic sequencing chip with a scalable number of detectors, enabling a wide range of applications including targeted sequencing in oncology, pharmacogenomics and genome-wide sequencing in microbiology and others. We believe in a world where every researcher has a compact, scalable, and affordable sequencer in their own lab, empowering the democratization of genetic sequencing. Our novel sequencing method is revolutionizing genomics discovery, biomedical research, healthcare, diagnostics, agriculture, and a variety of other fields.

Our team brings together an incredibly diverse and multidisciplinary set of backgrounds and skills – from electrical and mechanical engineers, physicists, chemists, microfluidic engineers, molecular biologists, bioinformaticians, mathematicians and more. It is a super exciting time to join GenapSys as we recently launched our first product which is generating a tremendous amount of interest.

About the Role:

Machine learning approaches are at the core of GenapSys' methods for generating high quality DNA sequencing data. As a machine learning engineer, you will join forces in the development of cutting-edge machine learning methods that solve key problems in the DNA sequencing, base calling, and variant calling processes. You will work closely with a cross-functional team of life scientists, bioengineers, and data scientists to identify areas where machine learning can make a difference, to conceptualize and develop biological datasets using cutting edge, high throughput platforms, and to analyze these data sets using the best machine learning methods, applied at scale.

Qualifications:
MS, or Ph.D. in computer science, statistics, mathematics, physics, engineering, or equivalent practical experience.
Expertise in Python and with version control practices and tools, especially Git/Github.
Demonstrated ability to write high-quality, production-ready code (readable, well-tested, with well-designed APIs).
1- 4 years of real-world work experience in software development for high-end machine learning algorithms.
Significant experience with Tensorflow.
Demonstrated prior experience with time series data analysis.
Demonstrated hands-on experience with development of Deep Learning models, various Neural Network concepts, classification algorithms that go beyond putting together of existing code, and to apply troubleshooting and problem-solving skills to complex issues.
Ability to communicate effectively and collaborate with people of diverse backgrounds and job functions.
Bonus Points If:
Experience with biological data (DNA sequences, RNAseq, proteomics, microscopy images, etc.).
Proficiency in Linux environment (including shell scripting), experience with database languages (e.g., SQL, No-SQL).
Familiarity with cloud computing services (AWS or GCP).
Experience with scalable machine learning, including the application to large datasets.
What we offer (US based-employees)*:
Competitive compensation and generous stock options.
Comprehensive, industry-leading medical, dental and vision benefits for employees and dependents.
Pre-tax savings plans for health care, child care, elder care, public transportation and parking expenses.
401(k) retirement plan with matching employer contribution.
Free daily catered gourmet lunches and snacks.
For those emergency moments - long and short term disability, life insurance (2x salary) and an employee assistance program.
Work with driven and enthusiastic colleagues in a fast-paced and entrepreneurial environment, the opportunity to work on problems that matter in a highly collaborative environment.
*Eligible international employees' benefits are specific to their location and dependent on their employer of record

GenapSys does not accept unsolicited agency resumes. Please do not forward unsolicited agency resumes to our website or to any GenapSys employee. GenapSys will not pay fees to any third party agency or firm and will not be responsible for any agency fees absent a formal agreement.

A diverse and inclusive workplace where we learn from each other is an integral part of GenapSys' culture. We actively welcome people of different backgrounds, experiences, abilities and perspectives. We are an equal opportunity employer and a great place to work. Join us and help us achieve our mission!",3.8,"GenapSys, Inc.
3.8","Redwood City, CA","Redwood City, CA",51 to 200 employees,2010,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Less than $1 million (USD),"Illumina, Thermo Fisher Scientific, Oxford Nanopore Technologies"
Data Scientist,$80K-$136K (Glassdoor est.),"Job Description


Oversight is a leading provider of cloud-based artificial intelligence solutions automating and analyzing financial payment transactions to identify fraud, non-compliant purchases, and wasteful spending. Oversight analyzes over $2 trillion in expenditures annually at Fortune 5000 companies and government agencies worldwide.

In this position as a Data Scientist, you will be working with a team of skilled and motivated data scientists and machine learning engineers designing and building AI solutions to expand our product line.

Responsibilities


Our team is at the fore front of building, operating and supporting business systems with machine learning at their core.

As a Data Scientist you will be incorporating machine learning into our products in order to transform how companies find and manage spend risk throughout their organization. You will collaborate with cross functional teams on complex data science problems and be responsible for solution design, data preparation, model building, and model management.

Ultimately, we’re looking for people who are excited by machine learning, data and technology, love to solve problems, constantly challenge themselves to provide the best user experience, can work well alone, have a wide range of skills and are able and willing to constantly learn.

Skills


Technical Skills/Requirements
3+ years real world experience in a data science or equivalent role
Extensive experience designing and maintaining a machine Learning pipeline – ETL, feature engineering, modeling, predicting, explaining, deploying and ongoing diagnostics
Excellent pattern recognition and predictive modeling skills
Experience communicating complex models and designing
Strong experience with data processing and data analytics
Experience analyzing a wide variety of structured and unstructured data
Strong communication and data presentation skills
Experience in both R&D and commercial software product development environment is a plus
Technologies
Expertise in python, scikit-learn, and pandas
Experience with Deep learning frameworks (FastAI , Keras, PyTorch etc.) preferred
SQL
Linux

Interested and qualified candidates should submit a resume with salary requirements to recruiter@oversightsystems.com.

About Oversight

The world’s largest companies and government agencies trust Oversight to identify enterprise spend risk no matter where it resides in their organization. Oversight’s AI-powered platform drives financial transformation by reducing audit effort and eliminating data silos to monitor and analyze 100% of spend transactions with unparalleled accuracy. With full visibility into spend, Oversight customers find and prioritize employee-initiated and third-party spend risk that would otherwise go undetected by in-house processes. By identifying process breakdowns and making corrections early, Oversight helps optimize budgets, reduce out-of-policy spending by 70% while maximizing audit efficiency and eliminating cash leakage.

Oversight is an equal opportunity employer.

Job Applicant Privacy Notice",4.7,"Oversight Systems
4.7","Atlanta, GA","Atlanta, GA",51 to 200 employees,2003,Company - Private,Computer Hardware & Software,Information Technology,$25 to $50 million (USD),-1
Data Scientist,$80K-$136K (Glassdoor est.),"Responsibilities:
Bring Creativity to Data products.
Apply machine learning methods to a variety of finance and accounting problems.
Responsible for building and maintaining the machine learning systems, data, platform and processes.
Build, integrate and deploy machine learning solutions into the BlackLine application in collaboration with product management, cloud, engineering and data science teams.
Perform qualitative and quantitative data analysis.
Cleanse and transform raw data used in machine models.
Perform data munging, data mining, clustering & classification methods, pattern recognition.
Comfortable with statistics, calculus and multivariate analysis.
Participate in ML POCs, validate the results and develop production implementations.
Build and optimize scalable machine learning solutions in the public cloud.
Familiar with SQL, Python, R, SparkML, TensorFlow, GCP, AWS, SQL Server.
Develop production systems in Python.
Work independently to research and solve business and technical problems.
Plan their work individually and as part of a team.
Mentor and train other Data Scientists on the team.
Qualifications:
Strong practical experience with machine learning techniques in the industry, accounting and financial industries is a plus.
Extensive experience solving analytical problems using quantitative approaches.
Experience with machine learning algorithms for building ML models, their accuracy, cleanliness, reliability.
Experience with predictive and prescriptive analyses, modeling, and segmentation.
Have strong passion for empirical data research for practical applications.
Ability to communicate complex quantitative analysis in clear, precise, and actionable
Comfortable with complex, high-volume, high-dimensionality data from varying sources.
Very comfortable with data engineering methods and pipelines.
Expert knowledge of analysis tools such as R, Matlab, or SAS
Experience with data warehousing, relational databases, ETL, BI, data mining.
Experience in SQL, R, Python languages.
Strong familiarity with GCP and AWS, SQL Server.
Practical experience with GIT version control.
Comfortable working with open source tools in a Unix/Linux environment.
Experience with and ownership of data-informed decision-making.
Experience translating business requirements into functional, and non-functional requirements.
Strong sense of product and data ownership.
Works independently without the need for supervision.
Strong written and verbal skills – able to explain the work in plain language.
MS/PhD in Computer Science or other quantitative disciplines",3.9,"BlackLine
3.9","Woodland Hills, CA","Woodland Hills, CA",501 to 1000 employees,2001,Company - Public,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),Trintech
Lead Clinical Laboratory Scientist - Future Opportunities,$80K-$136K (Glassdoor est.),"Q2 Solutions is a leading clinical trial laboratory services organization with end-to-end laboratory services and secure, enterprise-wide biospecimen and consent management solutions. With a relentless focus on quality and innovation, Q2 Solutions uses its global experience and scientific expertise to transform science and data into actionable medical insights that help customers improve human health. A joint venture of IQVIA (formerly QuintilesIMS) and Quest Diagnostics, Q2 Solutions combines the best of each parent organization’s clinical trials laboratory services capabilities to fulfill its mission of treating each sample as if a life depends on it.

We are always looking for new talent to join Q2 Solutions. To be considered for a future Lead Clinical Laboratory Scientist position, submit your resume. If your qualifications, experience, and skill sets align with the position requirements, one of our recruiters will connect with you.

PURPOSE

Provides professional and technical skills and knowledge to ensure accurate and timely performance of regular and specialized testing in Immunology, Hematology, Molecular, or related to obtain data for use in diagnosis and recording clinical trial laboratory test results.

RESPONSIBILITIES
Exhibits team leadership skills by mentoring, guiding, and providing technical expertise on specialized techniques to team members and training of junior staff.
Demonstrates mastery of specialized technical, scientific and/or administrative skills specific to this role.
Performs and reports test results for all clinical laboratory procedures as assigned, both automated and manual, in the clinical laboratory department.
Demonstrates proficiency, competency and understanding of fundamental principles of clinical laboratory procedures with minimal amount of supervision.
Notifies Supervisory team of any irregularities of factors, which may influence test results.
Uses the control measures and personal protective equipment provided, reports any safety related deficiencies and contribute to improving accident and safety performance.
Ensure compliance with all local, federal, CLIA and CAPA regulations.
Adhere to laboratory’s quality control policies, and document all quality control activities and maintain a clean and well-organized work area.
Maintains proficiency and training requirements.
Participate in special projects and other duties, as assigned by supervisor.
REQUIRED KNOWLEDGE, SKILLS AND ABILITIES
Detailed knowledge of specialized laboratory equipment, clinical testing procedures, and applicable laboratory testing regulations.
Problem solving ability and maintain clear communication with peers and superiors.
Ability to trouble- shoot equipment and test methods.
MINIMUM REQUIRED EDUCATION AND EXPERIENCE
Bachelor’s degree in Biomedical Laboratory Science, Clinical Science or related field with a minimum of 4 years’ of relevant laboratory and/or Clinical Trials experience as a lead; or equivalent combination of education, training and experience.
Applicable certifications, licenses, and experience as required by country, state, and/or other regulatory bodies.
Current and valid California State Clinical Laboratory Scientist License (CLS) required.
Able to prioritize and drive to results with a high emphasis on quality.
Ability to lead, guide and mentor a team.
Ability to work in fast pace environment required.
PHYSICAL REQUIREMENTS
Hours and days may vary depending on operational needs
May be exposed to hazardous materials, blood specimens and instruments with moving parts, heating or freezing elements, and high speed centrifugation
Repetitive manual pipetting may be necessary
Ability to lift a minimum of 10 lbs. and perform repetitive motions.
Must be able to wear protection devices as needed in the lab environment.
Must be able to access laboratory equipment on bench tops or equivalent while using both hands to perform manual dexterity operations
Must be able to work in a seated position for an extended duration (2h), with periodic breaks, while performing routine repetitive functions.
*A Clinical Laboratory Scientist with a limited license will only qualify for a CLS position within their specialty and only applicable in the following departments at the Regional Reference Laboratories: Chemistry limited license qualifies for Automated Chemistry or Esoteric Chemistry CLS positions; Toxicology limited license qualifies for Esoteric Chemistry CLS positions; Immunology limited license qualifies for Molecular or Immunology CLS positions; Microbiology limited license qualifies for Bacteriology, Molecular or Immunology CLS positions

EEO Minorities/Females/Protected Veterans/Disabled
IQVIA is an EEO Employer - Minorities/Females/Protected Veterans/Disabled

IQVIA, Inc. provides reasonable accommodations for applicants with disabilities. Applicants who require reasonable accommodation to submit an application for employment or otherwise participate in the application process should contact IQVIA’s Talent Acquisition team at workday_recruiting@iqvia.com to arrange for such an accommodation.

Apply Now!",2.8,"Q2 Solutions
2.8","Valencia, CA","Morrisville, NC",1001 to 5000 employees,2015,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,-1
Data Scientist,$80K-$136K (Glassdoor est.),"We are looking for an individual who will begin to build our data science knowledge and team. This person would help us discover the information hidden in our existing data, identify issues in our data collection, opportunities for improvement in our collection and use our data to build systems that will help us make smarter decisions to deliver even better products at better efficiencies. The primary focus will be in applying data-mining techniques, statistical analysis, and applied control theory resulting in buildout of high quality control and prediction systems to be integrated with our facilities in real time.
Responsibilities & Duties:
· Creating and deploying Artificial intelligence and Machine learning models to our industrial production process within our expert system products development, with a direct impact on plant operations

· Manage the necessary data collection and pre-processing

· Propose and analyze new instrumentation to provide added value to expert systems

· Creation of models to solve operational problems and develop troubleshooting tools such as equipment malfunction detection, equipment proactive maintenance.

· Develop the team Artificial Intelligence vision and expertise.

· Define best practices in the domain of Machine Learning and AI.

· Train other team members to support the use of data analytics tools and to expand the use of machine learning within Carmeuse

Additional duties as assigned by management
Job Qualifications:
· Masters Degree or higher in applied data science AI/ML applications preferred.

· Bachelor’s degree in Electrical Engineering, computer science, automation theory or related field with requisite applicable experience can be considered.

· Minimum of 3 years of experience in a data science implementation role. Preferably in the lime/cement/bulk material handling industry. Manufactuing experience required

· AI/ML, Network, security, Microsoft, Cisco certifications.

· Proficiency with process control instrumentation, network protocols, web services, windows, Cisco, Checkpoint and troubleshooting;

· Proficiency and familiarity with

· Tensor flow

· Python and other programming languages

· Experience utilizing Jupyter notebooks.

· Experience with Cloud based vendors of AI/ML solutions: Azure, Google.

· Windows 7/10/server/datacenter

· Detail and process oriented with strong problem resolution abilities; ability to use root cause analysis to troubleshoot;

· Ability to travel up to 20 to 50%. Overnight stays will be required and could include extended assignments during critical construction and start-up periods.",3.9,"Carmeuse
3.9","Pittsburgh, PA","Louvain-la-Neuve, Belgium",1001 to 5000 employees,1860,Company - Private,Mining,Mining & Metals,$1 to $2 billion (USD),"Lhoist, Graymont, Sibelco Group"
Data Scientist,$80K-$136K (Glassdoor est.),"The world's largest and fastest-growing companies such as Accenture, Adobe, DocuSign, and Salesforce rely on Demandbase to drive their Account-Based Marketing strategy and maximize their B2B marketing performance. We pioneered the ABM category nearly a decade ago, and today we lead the category as an indispensable part of the B2B MarTech stack. Our achievements and innovation would not be possible without the driven and collaborative teams here at Demandbase. As a company, we're as committed to growing careers as we are to building world-class technology. We invest heavily in people, our culture, and the community around us, and have continuously been recognized as one of the best places to work in the Bay Area.

This Data Science role will be a member of the Targeting team that generates a major component of Demandbase's annual revenue and leads the Machine Learning and engineering technology innovation at Demandbase. Our real-time bidder and augmentor has a throughput of 300QPS and less than 10ms response time. Our batch and streaming data pipeline processes over 10 billion auctions daily and flows data downstream for campaign forecasting, audience segment generation, campaign metrics, and reporting. Our Data Scientists apply cutting edge machine learning and natural language processing algorithms to extract relevant intent signals from the billions of web visits, to predict CTR and engagement, etc. The team is product-centric and consists of Data Scientists, Big Data Engineers, Software Engineers, and Analysts. We work closely with Product Managers and UX Designers to deliver the world's best B2B targeting product to our valued customers.

The Targeting team is currently looking for a Data Scientist to develop ground-breaking insights from our data sets and create robust machine learning models in B2B marketing —providing Sales and Marketing users with unique approaches for account-based advertising and web engagement. As a Data Scientist you are responsible for discovering insights, identifying opportunities and solving complex problems using simple, pragmatic and state-of-the-art solutions. Some of our projects include Natural Language Processing/Understanding, Entity Extraction, Deep Learning, Graph and Optimization.

Responsibilities
Develop Machine Learning algorithms that optimize and make an immediate business impact on Targeting KPIs.
Build, test and deploy custom ML/AI models and algorithms on large datasets, and develop processes for monitoring and analyzing their performance on production environments.
Communicate about algorithms, complex data science methods, and statistical results to normal people in simple English.
Stay current with the latest technology/research and drive innovation.
What we're looking for:
2-4 years of data science experience—you have driven more than one greenfield project from concept to production release
Background in Statistics, Computer Science, Machine Learning, Mathematics, Computational Psychology, Operational Research, Physics or relevant field
Demonstrated ability to write clean and performant code in Python
Experience working with AI/ML technologies like TensorFlow, scikit-learn, Spark MLlib, Bigquery Machine Learning, and large-scale data sets and generating unique models and algorithms
Proficiency with analytical and database tools (e.g. Jupyter notebooks, Hive, SQL, No-SQL)
Strong background in classical machine learning and deep knowledge in a variety of techniques in feature selection, regression, classification, and clustering, and their real-world advantages and drawbacks
Experience with Google Cloud and AWS is a plus.
Prior experience in the programmatic advertising/data science space desired
Knowledge or experience with continuous delivery for machine learning (CD2ML) framework is a plus.
Other important qualities:
You enjoy working in a fast-paced and dynamic environment
You are a driver, a learner, and a doer
You do what you say you will do
You are highly self-motivated and able to operate with significant autonomy
You are able to break down complex problems and come up with simple innovative solutions
You are able to dig deep into problems yet being able to focus on the goals and don't get lost in the details
Data is your thing, you love metrics and use metrics to drive projects
You are willing to build end-to-end and own the machine learning products you build or help build
Benefits:

Our benefits include 100% paid for Medical, Dental and Vision for you and your entire family, 100% paid for short-term and long-term disability, 100% paid for life insurance, 401k, flexible vacation

About Demandbase:

Demandbase is the leader in Account-Based Marketing (ABM) and an indispensable part of the B2B tech stack. The company offers the only end-to-end ABM platform that helps B2B marketers identify, engage, close, and measure progress against best-fit accounts. The biggest and fastest-growing companies in the world, such as Accenture, Adobe, DocuSign, GE, Salesforce, and others rely on Demandbase to drive their ABM strategy and maximize their marketing performance. The company has been named to the JMP Securities list ""The Hot 100: The Best Privately Held Software Companies,"" the Deloitte Fast 500, and named a Gartner Cool Vendor for Tech Go-To-Market. In 2019, Demandbase executives authored the definitive book on ABM, Account-Based Marketing: How to Target and Engage the Companies That Will Grow Your Revenue. For more information, please visit www.demandbase.com or follow the company on Twitter @Demandbase.",4.5,"Demandbase
4.5","San Francisco, CA","San Francisco, CA",201 to 500 employees,2006,Company - Private,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),"Engagio, Bombora, Terminus"
Senior Healthcare Data Analyst - Cost and Utilization Analysis,$80K-$136K (Glassdoor est.),"Position Summary:

The Senior Healthcare Data Analyst is responsible for providing analysis and recommendations regarding the Utilization and Cost of Behavioral Health Services at Community Behavioral Health.This position will provide analysis of based on Budget to Actual utilization and PMPM of services as well as coordinate with various departments including Finance, Data Informatics, Clinical and Provider Network Management in the determination of recommendations regarding Utilization and Cost findings.

Essential Functions:

·Coordinate with various CBH teams and departments through effective communication, report generation, solution development and team building.

·Provide or work with various departments to provide, and present various complex financial analyses and reports to Utilization Management Committee, the Clinical, Finance and Network Operations Departments.

·Maintain, modify and create SQL code used for financial analysis and reports.

·Identify, research and bring to resolution any issues with the financial data and reports.

·Develop detailed financial projections.

·Review monthly Quality Assurance Reports prior to issuance to Finance Executive Staff.

·Coordinate the processing of compliance claims adjustments and reporting results to the Compliance Department.

·Development of Value Based Contracting Models and Evaluation of Value Based Contracting.

Position Requirements:

·Education: Bachelor’s degree in Finance, Accounting, Economics or Mathematics

·License/Certification: N/A

·Relevant Work Experience: Minimum of 5 years of experience in financial forecasting and analysis

·Skills:

·Extensive knowledge of Microsoft Office applications

·Proficient in using SQL, including querying and troubleshooting

·Thorough understanding of data manipulations and reconciliation

·Excellent analytical skills

·Excellent interpersonal and verbal and written communication skills

·Able to work independently",3.7,"Community Behavioral Health
3.7","Philadelphia, PA","Phila, PA",201 to 500 employees,1994,Company - Private,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD),-1
Data Scientist,$80K-$136K (Glassdoor est.),"JOB SUMMARY
Responsible for scoping, developing, modeling, implementing, and delivering robust data analytics by using Teradata Aster and/or other analytic tools.

MAJOR DUTIES AND RESPONSIBILITIES
Actively and consistently support all efforts to simplify and enhance the customer experience

Understand customer business use cases and be able to translate them to technical specifications and vision on how to implement a solution

Clearly communicate the benefits of the analytic solutions to both a business as well as a technical audience

Leverage knowledge in analytic and statistical algorithms to help customers explore methods to improve their business

Lead large-scale analytical research projects through all stages including concept formulation, determination of appropriate statistical methodology, data manipulation, research evaluation, and final research report

Design, build, and extract large and complex data sets while thinking strategically about uses of data and how data use interacts with data design

Lead large-scale data studies and data discovery for new data sources or new uses for existing data sources

Lead design and implementation of statistical data quality procedures for existing and new data sources

Visualize and report data findings creatively in a variety of visual formats that appropriately provide insight to the stakeholders

Establish links across existing data sources and find new, interesting data correlations

Work closely with the sales team to come up with analytical solutions for prospects

Work closely with the operations team to define the implementation of these solutions

Achieve business value of analytics through deployment of the nCluster database

Achieve defined project goals within customer deadlines; proactively communicate status and escalate issues as needed

Willing to learn: Develop expertise in areas outside of core comfort zone

REQUIRED QUALIFICATIONS
Skills/Abilities and Knowledge
Ability to read, write, speak and understand English
Excellent team player
Must be self-motivated, results-driven, and able to work with minimum supervision
Intellectually curious
Outstanding interpersonal, communication and customer relationship skills able to work effectively with customers from developers and Ops personnel through senior management
Extensive experience with analytical and statistical software
Extensive experience with design and implementation of data warehousing, relational databases, and associated infrastructures
Passionate about data maintenance, data quality control and all other important data analysis techniques
Excellent analytical and problem solving skills with attention to detail and data accuracy
Strong interpersonal communication, verbal and written, relationship management, and customer service skills with a focus on working effectively in a team environment
Ability to use MS Office Suite (Word, Excel, PP, Access, Visio)
Ability to work cross-functionally to solve complex problems and improve quality and service
Ability to perform involved and independent research and analysis
Ability to maintain confidentiality and appropriately handle sensitive information

Related Work Experience Number of Years
Data manipulation and statistical modeling as a Scientist, Consultant,
Architect, DBA, or Engineer 5+
Programming experience 5+

Education
MS or PhD in Computer Science, Physics, Math, Statistics, Economics, Quantitative Analysis or equivalent experience

PREFERRED QUALIFICATIONS
Skills/Abilities and Knowledge
Extensive experience with data programming languages such as SQL
Extensive experience with large data sets or Big Data
Experience with distributed computing tools such as Hadoop or Map/Reduce

WORKING CONDITIONS
Office Environment
Travel as required",2.9,"SPECTRUM
2.9","Stamford, CT","Stamford, CT",10000+ employees,2016,Subsidiary or Business Segment,"Cable, Internet & Telephone Providers",Telecommunications,$10+ billion (USD),-1
"Assistant Director, Data Science, Solaria Labs",$80K-$136K (Glassdoor est.),"Advance your career at Liberty Mutual - A Fortune 100 Company!

The economy is transforming, and to adapt, Liberty Mutual has established Solaria Labs (https://www.solarialabs.com): a global team that builds disruptive new products around emerging consumer trends like micro-mobility and the sharing economy. We have already launched a few products and one company since we started - for examples, see https://www.getcertainly.com, https://www.trydwellbeing.com/, and https://www.totalhomescore.com.

The Role

As a Data Scientist in Solaria Labs, you will be part of a team working on most challenging Data Science and Machine Learning problems from computer vision to natural language understanding


Responsibilities Include
Translate product ideas into well-posed data science challenges, and solve them
Design and deploy Machine Learning (ML) systems backing our products, including computer vision, NLP, and others
Translate and champion our ML capabilities for non-technical audiences
Participate in the broader ML community to stay current with the latest techniques and software
Engage with staff within and beyond the Innovation team, training and advocating for the use of ML techniques in other business areas
The actual internal level/grade for this role will depend on the candidate's overall experience and skill level.
Qualifications:
Competencies typically acquired through a Ph.D. degree (in Engineering, Computer Science, Mathematics, or other scientific field of study) and 2+ years of relevant experience, a Master's degree (scientific field of study) and 4+ years of relevant experience or may be acquired through a Bachelor's degree (scientific field of study) and 5-7+ years of relevant experience.
Extensive experience analyzing data and a broad understanding of core statistical and ML techniques
Expertise with Python, along with standard machine learning libraries
Proven track record of rapid prototyping and development, leveraging open source or commercial frameworks (e.g., TensorFlow, Hadoop, AWS) is a plus
Ability to thrive in a fast-paced environment with significant uncertainty
Possession of strong analytical, decision-making and problem-solving skills
Benefits:
We value your hard work, integrity and commitment to positive change. In return for your service, it's our privilege to offer you benefits and rewards that support your life and well-being. To learn more about our benefit offerings please visit: https://LMI.co/Benefits
Overview:
At Liberty Mutual, we give motivated, accomplished professionals the opportunity to help us redefine what insurance means; to work for a global leader with a deep sense of humanity and a focus on improving and protecting everyday lives. We create an inspired, collaborative environment, where people can take ownership of their work; push breakthrough ideas; and feel confident that their contributions will be valued and their growth championed.
We're dedicated to doing the right thing for our employees, because we know that their fulfillment and success leads us to great places. Life. Happiness. Innovation. Impact. Advancement. Whatever their pursuit, talented people find their path at Liberty Mutual.",3.4,"Liberty Mutual Insurance
3.4","Boston, MA","Boston, MA",10000+ employees,1912,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),"Travelers, Allstate, State Farm"
Data Scientist,$80K-$136K (Glassdoor est.),"Redstone Federal Credit Union is actively seeking a Data Scientist in Huntsville, AL today!

About Us:

Redstone Federal Credit Union is a data-rich institution investing in data science experts who can leverage the power of that data. Raise approval rates, suppress charge-offs, crush fraud, make our marketing dollars count. All in the service of our ultimate goal: to give back more to our community and brighten the financial lives of our members.

At Redstone, youll find a board of directors and executive teams who are committed to making data the foundation of our future success, and youll have a lot of influence in how we do that. Youll collaborate with business owners, data analysts, and data engineers to identify, prioritize and formulate data science efforts. Develop and deploy machine learning and decision optimization solutions. Conduct exploratory data analysis (EDA) and inferential statistical analysis. Design experiments. Grow your own skills while training the next generation of data scientists.

Benefits:
Health/Dental/Vision insurance
Retirement plan, Signing bonus,
Paid time off, Relocation assistance
Tuition reimbursement
Responsibilities:
Develops supervised and unsupervised machine learning models.
Conducts inferential analysis to draw valid conclusions about a population given sample data.
Design experiments to evaluate potential business improvements, such as (for example) evaluating the effectiveness of marketing promotions on improving sales.
Conducts descriptive and exploratory analytics, understanding and communicating what a dataset can tell us about (for example) members, products, processes, competition, the economic environment, and marketing promotions.
Continuously builds domain expertise in various credit union subject areas, such as (for example) marketing, underwriting, fraud, and service channels.
Performs other related duties as assigned or requested.
Requirements:
5+ years of work experience or Masters degree in data science, statistics, computer science, or closely related field
5+ years' responsible business domain experience in applied machine learning and decision optimization.
Experience with various open-source toolsets and environments (e.g., Python, Jupyter, R, Scala, SQL, etc.)
Experience in distributed computing (e.g. Apache Spark).
Experience with feature engineering.
Experience with experimental design and inferential statistics.
Experience in consumer finance is preferred.
Indeed Hire and Redstone Federal Credit Union are working together to find the best candidate for this job.

By applying, you agree to be contacted by our agent, Indeed Hire, and receive updates via text and phone about your application.

Job Type: Full-time

Experience:
Scala: 1 year (Preferred)
Spark: 1 year (Preferred)
Experimental Design: 1 year (Preferred)
SQL: 1 year (Preferred)
data scientist: 5 years (Preferred)
Applied machine learning in a business setting : 5 years (Preferred)
R: 1 year (Preferred)
Python: 1 year (Preferred)
full agile sdlc methodology: 1 year (Preferred)
analytics: 1 year (Preferred)
hadoop: 1 year (Preferred)
Education:
Bachelor's (Required)
Job distance:
Huntsville, AL: Between 31 and 40 miles (Preferred)",3.4,"Redstone Federal Credit Union
3.4","Huntsville, AL","Huntsville, AL",1001 to 5000 employees,1951,Nonprofit Organization,Investment Banking & Asset Management,Finance,$100 to $500 million (USD),-1
